,PREÇO ATUAL,PREÇO ORIGINAL,PRODUTO,MARCA,LOJA/VENDEDOR,LINK
1,"R$ 3.088,10","R$ 7.198,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MAGAZINE LUIZA,MAGAZINE LUIZA - S23 PLUS
2,"R$ 2.998,80","R$ 6.499,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MAGAZINE LUIZA,MAGAZINE LUIZA - S23 PLUS
3,"R$ 5.849,10","R$ 6.999,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,SAMSUNG,SAMSUNG - S23 PLUS
4,"R$ 6.049,00","R$ 6.999,00 ",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMAZON,AMAZON - S23 PLUS
5,"R$ 3.033,18","R$ 3.144,15",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,CASASBAHIA,CASASBAHIA - S23 PLUS
6,"R$ 3.419,10","R$ 3.799,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,CARREFOUR,CARREFOUR - S23 PLUS
7,"R$ 5.079,00","R$ 5.771,60",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMERICANAS,AMERICANAS - S23 PLUS
8,"R$ 5.648,72","R$ 6.419,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMERICANAS/MASTERCELL,AMERICANAS - S23 PLUS
9,"R$ 4.251,55","R$ 5.038,95",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,TROCAFONE,TROCAFONE - S23 PLUS
10,"R$ 3.149,10","R$ 3.499,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,TROCAFY,TROCAFY - S23 PLUS
11,"R$ 6.649,05","R$ 7.999,04",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,NAGEM,NAGEM - S23 PLUS
12,"R$ 5.034,05","R$ 5.299,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,NAGEM,NAGEM - S23 PLUS
13,"R$ 5.999,00","R$ 5.999,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MERCADO LIVRE,MERCADO LIVRE - S23 PLUS
14,"R$ 3.499,00","R$ 4.243,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MERCADO LIVRE/CELLFONE,MERCADO LIVRE - S23 PLUS
15,"R$ 4.599,00","R$ 4.599,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MERCADO LIVRE/CENTERCELULLARES,MERCADO LIVRE - S23 PLUS
16,"R$ 5.399,00","R$ 5.399,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,VIVO,VIVO - S23 PLUS
17,"R$ 4.699,00","R$ 4.699,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,VIVO,VIVO - S23 PLUS
18,"R$ 6.999,00","R$ 7.999,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,RAMSONS,RAMSONS - S23 PLUS
19,"R$ 9.358,96","R$ 9.358,96",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,PONTOFRIO,PONTOFRIO - S23 PLUS
20,"R$ 2.429,10","R$ 2.699,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,TROCAFY,TROCAFY - S23 PLUS
21,"R$ 4.999,99","R$ 4.999,99",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,SHOPEE/Newwave Tecnology,SHOPEE - S23 PLUS
22,"R$ 3.009,35","R$ 4.543,90",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,ALIEXPRESS,ALIEXPRESS - S23 PLUS
23,"R$ 3.385,60","R$ 6.909,38",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,ALIEXPRESS,ALIEXPRESS - S23 PLUS
24,"R$ 4.949,10","R$ 6.999,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMAZON,AMAZON - S23 PLUS
25,"R$ 3.799,99","R$ 5.999,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMAZON,AMAZON - S23 PLUS
26,"R$ 4.243,00","R$ 4.243,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,AMAZON,AMAZON - S23 PLUS
27,"R$ 3.999,00","R$ 6.499,90",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,CASASBAHIA,CASASBAHIA - S23 PLUS
28,"R$ 6.736,76","R$ 6.736,76",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,CASASBAHIA,CASASBAHIA - S23 PLUS
29,"R$ 5.444,10","R$ 6.049,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,MAGAZINE LUIZA,MAGAZINE LUIZA - S23 PLUS
30,"R$ 3.999,00","R$ 5.699,00",Smartphone Samsung Galaxy S23 PLus,SAMSUNG,EXTRA,EXTRA - S23 PLUS
