,PREÇO ATUAL,PREÇO ORIGINAL,PRODUTO,MARCA,LOJA/VENDEDOR,LINK
11,"R$ 258,22","R$ 888,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SHOPEE/GoodLuckGift.br,https://shopee.com.br/Novo-smartphone-Samsung-Galaxy-S23-Ultra-5G-4GB-512GB-Suporta-Reconhecimento-facial-Para-Desbloquear-A-Versão-global-Do-Telefone-Celular-GoodLuckGiftI-i.973747641.25423596750?sp_atk=04df3420-b409-4217-aa82-e3b47824ace3&xptdk=04df3420-b409-4217-aa82-e3b47824ace3
12,"R$ 3.959,10","R$ 4.399,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,TROCAFY,https://www.trocafy.com.br/smartphone-samsung-galaxy-s23-ultra-512gb-5g-violeta-12gb-ram-tela-6-8--camera-quadrupla-200mp---12mp---10mp---10mp---selfie-12mp---sou-como-novo-5390/p?idsku=3851&srsltid=AfmBOopADfvR9w-1pgYDbbtso1zn9GkFVDTXuKA59TganF1MZM6ax3PXYCI
13,"R$ 5.099,00","R$ 9.599,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,VINKLO,https://vinklo.com.br/smartphone-samsung-galaxy-s23-ultra-256gb-preto-5g-12gb-ram-6-8-cam-quadrupla-selfie-12mp-3356950?srsltid=AfmBOooNb2QfihOG6uSEHi1rF-i-JPnALnTf-lc-x49oXdIQzi_wWUG7EwQ
14,"R$ 10.000,00","R$ 10.000,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SHOPEE/Newwave Tecnology,https://shopee.com.br/Celular-Samsung-Galaxy-S23-Ultra-SM-S918B-Dual-Chip-256GB-5G-RAM-12GB-i.578788749.23696961256?sp_atk=9adc1fa9-3417-4f0d-ad70-3bf2776818b5&xptdk=9adc1fa9-3417-4f0d-ad70-3bf2776818b5
15,"R$ 8.690,00","R$ 8.690,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SHOPEE/Movelaço tem tudo,https://shopee.com.br/Smartphone-Samsung-Galaxy-S24-ultra-5G-512gb-RAM-12gb-RAM-tela-6.8-Titanium-preto-i.619093553.20899193552?sp_atk=407658f8-ec6f-4a8a-987c-016b1d74f81f&xptdk=407658f8-ec6f-4a8a-987c-016b1d74f81f
16,"R$ 258,53","R$ 977,53",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SHOPEE/Apple sauce mobile phone store.br,https://shopee.com.br/Marca-Novo-Galaxy-S23-Ultra-5G-Smartphone-12GB-512GB-7-5-Polegadas-Tela-Grande-Celular-Android-phone-5G-Wifi-Bluetooth-Celulares-À-Venda-Smart-Gaming-Envio-Gratuito-Telefone-Barato-i.1057543601.22261685088?sp_atk=d46cc8e2-136d-4420-9deb-19feadb94e81&xptdk=d46cc8e2-136d-4420-9deb-19feadb94e81
17,"R$ 230,90","R$ 349,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SHOPEE/celularabc.br,https://shopee.com.br/Celular-S23Ultra-5-5-Polegadas-Tela-8GB-RAM-128GB-ROM-5G-Celulares-Smartphone-Android-Dual-Sim-i.768262380.16096917857?sp_atk=10703f8d-45b0-4ea3-a625-fc84d2af95e3&xptdk=10703f8d-45b0-4ea3-a625-fc84d2af95e3
18,"R$ 4.739,00","R$ 4.899,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,ALIEXPRESS/TROCAFONE,https://pt.aliexpress.com/item/1005006175045947.html?spm=a2g0o.productlist.main.1.42fbDqmuDqmuyK&algo_pvid=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f&algo_exp_id=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f-0&pdp_npi=4%40dis%21BRL%214899.00%214739.00%21%21%214899.00%214739.00%21%40210318c317214094795662826ec452%2112000036130896860%21sea%21BR%210%21AB&curPageLogUid=ZSoZBWJ2HkRQ&utparam-url=scene%3Asearch%7Cquery_from%3A
19,"R$ 809,98","R$ 809,98",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,ALIEXPRESS ,https://pt.aliexpress.com/item/1005007360185851.html?spm=a2g0o.productlist.main.15.42fbDqmuDqmuyK&algo_pvid=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f&aem_p4p_detail=202407191017592446231956670200000525245&algo_exp_id=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f-7&pdp_npi=4%40dis%21BRL%21809.98%21809.98%21%21%211011.21%211011.21%21%40210318c317214094795662826ec452%2112000040419888637%21sea%21BR%210%21AB&curPageLogUid=OArmLyqnlPpQ&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202407191017592446231956670200000525245_2
20,"R$ 307,69","R$ 854,70",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,ALIEXPRESS,https://pt.aliexpress.com/item/1005006656050005.html?spm=a2g0o.productlist.main.23.42fbDqmuDqmuyK&algo_pvid=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f&aem_p4p_detail=202407191017592446231956670200000525245&algo_exp_id=4b888fee-1ebd-42ec-b4d0-92c4f8200d5f-11&pdp_npi=4%40dis%21BRL%21854.70%21307.69%21%21%211067.04%21384.13%21%40210318c317214094795662826ec452%2112000037936500245%21sea%21BR%210%21AB&curPageLogUid=LhRzzOs5SGvV&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202407191017592446231956670200000525245_3
21,"R$ 5.700,00","R$ 9.499,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMAZON,https://a.co/d/6YQqva3
22,"R$ 5.777,00","R$ 5.777,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7498984561/celular-samsung-galaxy-s23-ultra-5g-256gb-12gb-ram-tela-infinita-de-6-8-dual-chip?pfm_carac=s23-ultra&pfm_index=1&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6669eb56f85575c569b8b101&cor=Preto&condition=NEW
23,"R$ 6.666,00","R$ 6.666,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7498984645/celular-samsung-galaxy-s23-ultra-5g-512gb-12gb-ram-tela-infinita-de-6-8-dual-chip?pfm_carac=s23-ultra&pfm_index=2&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=6669eb3bf85575c569b89786&cor=Verde&condition=NEW
24,"R$ 7.039,12","R$ 7.999,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7412325493/smartphone-samsung-galaxy-s23-ultra-5g-512gb-6-8-200-12-10-10mp-creme?pfm_carac=s23-ultra&pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=64886b7c579fbc8d91f6bac2&cor=Creme&voltagem=Não%20Informado%2FNão%20Informado&condition=NEW
25,"R$ 10.440,00","R$ 12.423,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7168102561/smartphone-samsung-galaxy-s23-ultra-5g-256gb-6-8-200-12-10-10mp-preto?pfm_carac=s23-ultra&pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=63fcc30f401db3b86bd4be18&cor=Preto&voltagem=Não%20Informado%2FNão%20Informado&condition=NEW
26,"R$ 3.887,10","R$ 4.319,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS/TROCAFONE,https://www.americanas.com.br/produto/7468374362/usado-samsung-galaxy-s23-ultra-5g-256gb-preto-excelente-trocafone?pfm_carac=s23-ultra&pfm_index=13&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=669a6b86f85575c5696ca552&cor=Preto&condition=USED
27,"R$ 3.806,10","R$ 4.229,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7468352190/usado-samsung-galaxy-s23-ultra-5g-512gb-verde-bom-trocafone?pfm_carac=s23-ultra&pfm_index=14&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=669689f0f85575c569316577&cor=Verde&condition=USED
28,"R$ 4.265,10","R$ 4.739,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS,https://www.americanas.com.br/produto/7468368354/usado-samsung-galaxy-s23-ultra-5g-512-gb-verde-excelente-trocafone?pfm_carac=s23-ultra&pfm_index=16&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=66966e98f85575c56914b35c&cor=Verde&condition=USED
29,"R$ 3.887,10","R$ 4.319,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS/TROCAFONE,https://www.americanas.com.br/produto/7468371983/usado-samsung-galaxy-s23-ultra-5g-256gb-verde-excelente-trocafone?pfm_carac=s23-ultra&pfm_index=18&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=669583b6f85575c569775d3d&cor=Verde&condition=USED
30,"R$ 4.049,10","R$ 4.499,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,AMERICANAS/TROCAFONE,https://www.americanas.com.br/produto/7468372013/usado-samsung-galaxy-s23-ultra-5g-512gb-preto-muito-bom-trocafone?pfm_carac=s23-ultra&pfm_index=17&pfm_page=search&pfm_pos=grid&pfm_type=search_page&offerId=669526dbf85575c569e946de&cor=Preto&condition=USED
