,PREÇO ATUAL,PREÇO ORIGINAL,PRODUTO,MARCA,LOJA/VENDEDOR,LINK
1,"R$ 4.499,10","R$ 4.999,00",Smartphone Samsung Galaxy S23 Ultra,SAMSUNG,Magazine luiza,Magazine Luiza
2,"R$ 8.549,10","R$ 9.499,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,SAMSUNG,Samsung
3,"R$ 4.499,10","R$ 9.499,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,Mercado Livre,Mercado LIvre
4,"R$ 4.739,00","R$ 4.739,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,KABUM!,https://www.kabum.com.br/produto/500282/usado-smartphone-samsung-galaxy-s23-ultra-5g-512gb-ram-12gb-camera-12mp-tela-6-8-verde-excelente?srsltid=AfmBOopycYQLY-nlt6bEz_vaVG-dYD2o7EouxWBdzFG5AV1eBKYSoBH967A
5,"R$ 7.999,00","R$ 7.999,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,Casas Bahia,https://www.casasbahia.com.br/usado-samsung-galaxy-s23-ultra-5g-256gb-azul-excelente-trocafone-1568159925/p/1568159925?utm_medium=Cpc&utm_source=google_freelisting&IdSku=1568159925&idLojista=33013&tipoLojista=3P&srsltid=AfmBOoqyikvJpGxsfplNeXs0RfW9IJs8Gf3NlASgbe-1ZIeCIZbRt-NBIdg
6,"R$ 3.959,10","R$ 4.399,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,TROCAFY,https://www.trocafy.com.br/smartphone-samsung-galaxy-s23-ultra-5g-512gb-12gb-ram-cam--quadrupla---selfie-12mp-tela-6-8--preto---sou-como-novo-5235/p?idsku=3699&srsltid=AfmBOop9aRRRg_w5AJ_sZAGCOZDncklm4Pnnd78XR9EEXUJEDrAezSLRVVI
7,"R$ 7.999,00","R$ 7.999,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,PONTO FRIO,https://www.pontofrio.com.br/usado-samsung-galaxy-s23-ultra-5g-256gb-vermelho-excelente-trocafone-1568169565/p/1568169565?utm_medium=cpc&utm_source=google_freelisting&IdSku=1568169565&idLojista=33013&tipoLojista=3P
8,"R$ 4.015,00","R$ 4.215,00",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,ENJOEI,https://www.enjoei.com.br/p/smartphone-samsung-galaxy-s23-ultra-103592958?g_campaign=google_shopping&srsltid=AfmBOorq1Lp8NVYdto1KI-P3sNEE9LGYJKG6K-OLLNVRDWdo12OfNOVkDMI
9,"R$ 4.516,70","R$ 4.516,70",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,DOJI,https://doji.com.br/product/samsung-galaxy-s23-ultra-5g-violeta-512gb-excelente
10,"R$ 6.239,38","R$ 6.239,38",Smartphone Samsung Galaxy S23 Ultra 5G,SAMSUNG,JOYSPACE,https://joyspace.com.br/celular-samsung-galaxy-s23-ultra-12-gb-ram-512gb-tela-68-p1295?srsltid=AfmBOooLF3FoiZmw4p5OseqtmMWOskqomTlsXty_u1ppNWsVCxKGAE5ST7Q
